,Q2,Q3,Q4,rawData
198,727,NaN,NaN,NaN
199,861,NaN,NaN,NaN
200,735,NaN,NaN,NaN
201,857,NaN,NaN,NaN
202,767,NaN,NaN,NaN
203,931,NaN,NaN,NaN
204,796,NaN,NaN,NaN
205,958,NaN,NaN,NaN
206,944,NaN,NaN,NaN
207,871,NaN,NaN,NaN
208,1701,NaN,NaN,NaN
209,861,NaN,NaN,NaN
210,761,NaN,NaN,NaN
211,672,NaN,NaN,NaN
212,703,NaN,NaN,NaN
213,810,NaN,NaN,NaN
214,713,NaN,NaN,NaN
215,730,NaN,NaN,NaN
216,903,NaN,NaN,NaN
217,725,NaN,NaN,NaN
218,885,NaN,NaN,NaN
219,790,NaN,NaN,NaN
220,879,NaN,NaN,NaN
221,828,NaN,NaN,NaN
222,957,NaN,NaN,NaN
223,883,NaN,NaN,NaN
224,1746,NaN,NaN,NaN
225,874,NaN,NaN,NaN
226,685,NaN,NaN,NaN
227,702,NaN,NaN,NaN
228,724,NaN,NaN,NaN
229,818,NaN,NaN,NaN
230,699,NaN,NaN,NaN
231,736,NaN,NaN,NaN
232,890,NaN,NaN,NaN
233,746,NaN,NaN,NaN
234,764,NaN,NaN,NaN
235,749,NaN,NaN,NaN
236,874,NaN,NaN,NaN
237,785,NaN,NaN,NaN
238,949,NaN,NaN,NaN
239,1126,NaN,NaN,NaN
240,1807,NaN,NaN,NaN
241,915,NaN,NaN,NaN
242,823,NaN,NaN,NaN
243,708,NaN,NaN,NaN
244,662,NaN,NaN,NaN
245,827,NaN,NaN,NaN
246,701,NaN,NaN,NaN
247,855,NaN,NaN,NaN
248,753,NaN,NaN,NaN
249,734,NaN,NaN,NaN
250,900,NaN,NaN,NaN
251,779,NaN,NaN,NaN
252,893,NaN,NaN,NaN
253,765,NaN,NaN,NaN
254,924,NaN,NaN,NaN
255,882,NaN,NaN,NaN
256,1800,NaN,NaN,NaN
257,861,NaN,NaN,NaN
258,783,NaN,NaN,NaN
259,675,NaN,NaN,NaN
260,810,NaN,NaN,NaN
261,692,NaN,NaN,NaN
262,732,NaN,NaN,NaN
263,769,NaN,NaN,NaN
264,752,NaN,NaN,NaN
265,877,NaN,NaN,NaN
266,703,NaN,NaN,NaN
267,918,NaN,NaN,NaN
268,769,NaN,NaN,NaN
269,931,NaN,NaN,NaN
270,1000,NaN,NaN,NaN
271,753,NaN,NaN,NaN
272,2014,NaN,NaN,NaN
273,880,NaN,NaN,NaN
274,861,NaN,NaN,NaN
275,869,NaN,NaN,NaN
276,755,NaN,NaN,NaN
277,906,NaN,NaN,NaN
278,770,NaN,NaN,NaN
279,909,NaN,NaN,NaN
280,791,NaN,NaN,NaN
281,868,NaN,NaN,NaN
282,743,NaN,NaN,NaN
283,942,NaN,NaN,NaN
284,778,NaN,NaN,NaN
285,950,NaN,NaN,NaN
286,772,NaN,NaN,NaN
287,1113,NaN,NaN,NaN
288,2102,NaN,NaN,NaN
289,887,NaN,NaN,NaN
290,814,NaN,NaN,NaN
291,704,NaN,NaN,NaN
292,858,NaN,NaN,NaN
293,732,NaN,NaN,NaN
294,729,NaN,NaN,NaN
295,887,NaN,NaN,NaN
296,742,NaN,NaN,NaN
297,940,NaN,NaN,NaN
298,732,NaN,NaN,NaN
299,909,NaN,NaN,NaN
300,765,NaN,NaN,NaN
301,951,NaN,NaN,NaN
302,995,NaN,NaN,NaN
303,989,NaN,NaN,NaN
304,2176,NaN,NaN,NaN
305,959,NaN,NaN,NaN
306,724,NaN,NaN,NaN
307,838,NaN,NaN,NaN
308,702,NaN,NaN,NaN
309,835,NaN,NaN,NaN
310,779,NaN,NaN,NaN
311,887,NaN,NaN,NaN
312,769,NaN,NaN,NaN
313,913,NaN,NaN,NaN
314,977,NaN,NaN,NaN
315,796,NaN,NaN,NaN
316,953,NaN,NaN,NaN
317,800,NaN,NaN,NaN
318,1000,NaN,NaN,NaN
319,937,NaN,NaN,NaN
320,2358,NaN,NaN,NaN
321,872,NaN,NaN,NaN
322,814,NaN,NaN,NaN
323,705,NaN,NaN,NaN
324,753,NaN,NaN,NaN
325,816,NaN,NaN,NaN
326,780,NaN,NaN,NaN
327,912,NaN,NaN,NaN
328,729,NaN,NaN,NaN
329,875,NaN,NaN,NaN
330,757,NaN,NaN,NaN
331,980,NaN,NaN,NaN
332,777,NaN,NaN,NaN
333,981,NaN,NaN,NaN
334,786,NaN,NaN,NaN
335,1194,NaN,NaN,NaN
336,2346,NaN,NaN,NaN
337,1023,NaN,NaN,NaN
338,799,NaN,NaN,NaN
339,699,NaN,NaN,NaN
340,814,NaN,NaN,NaN
341,737,NaN,NaN,NaN
342,782,NaN,NaN,NaN
343,863,NaN,NaN,NaN
344,897,NaN,NaN,NaN
345,775,NaN,NaN,NaN
346,935,NaN,NaN,NaN
347,822,NaN,NaN,NaN
348,944,NaN,NaN,NaN
349,804,NaN,NaN,NaN
350,989,NaN,NaN,NaN
351,1142,NaN,NaN,NaN
352,2390,NaN,NaN,NaN
353,1020,NaN,NaN,NaN
354,696,NaN,NaN,NaN
355,839,NaN,NaN,NaN
356,706,NaN,NaN,NaN
357,808,NaN,NaN,NaN
358,800,NaN,NaN,NaN
