,Q2,Q3,Q4,rawData
0,5056,NaN,NaN,NaN
1,1608,NaN,NaN,NaN
2,941,NaN,NaN,NaN
3,1038,NaN,NaN,NaN
4,820,NaN,NaN,NaN
5,737,NaN,NaN,NaN
6,756,NaN,NaN,NaN
7,974,NaN,NaN,NaN
8,667,NaN,NaN,NaN
9,763,NaN,NaN,NaN
10,877,NaN,NaN,NaN
11,993,NaN,NaN,NaN
12,629,NaN,NaN,NaN
13,726,NaN,NaN,NaN
14,722,NaN,NaN,NaN
15,858,NaN,NaN,NaN
16,700,NaN,NaN,NaN
17,666,NaN,NaN,NaN
18,652,NaN,NaN,NaN
19,912,NaN,NaN,NaN
20,650,NaN,NaN,NaN
21,592,NaN,NaN,NaN
22,655,NaN,NaN,NaN
23,784,NaN,NaN,NaN
24,652,NaN,NaN,NaN
25,764,NaN,NaN,NaN
26,650,NaN,NaN,NaN
27,843,NaN,NaN,NaN
28,773,NaN,NaN,NaN
29,808,NaN,NaN,NaN
30,663,NaN,NaN,NaN
31,818,NaN,NaN,NaN
32,838,NaN,NaN,NaN
33,771,NaN,NaN,NaN
34,633,NaN,NaN,NaN
35,1010,NaN,NaN,NaN
36,618,NaN,NaN,NaN
37,720,NaN,NaN,NaN
38,827,NaN,NaN,NaN
39,967,NaN,NaN,NaN
40,745,NaN,NaN,NaN
41,812,NaN,NaN,NaN
42,646,NaN,NaN,NaN
43,957,NaN,NaN,NaN
44,712,NaN,NaN,NaN
45,761,NaN,NaN,NaN
46,674,NaN,NaN,NaN
47,1067,NaN,NaN,NaN
48,846,NaN,NaN,NaN
49,599,NaN,NaN,NaN
50,598,NaN,NaN,NaN
51,1080,NaN,NaN,NaN
52,720,NaN,NaN,NaN
53,816,NaN,NaN,NaN
54,801,NaN,NaN,NaN
55,1085,NaN,NaN,NaN
56,641,NaN,NaN,NaN
57,756,NaN,NaN,NaN
58,809,NaN,NaN,NaN
59,1117,NaN,NaN,NaN
60,691,NaN,NaN,NaN
61,924,NaN,NaN,NaN
62,601,NaN,NaN,NaN
63,902,NaN,NaN,NaN
64,641,NaN,NaN,NaN
65,620,NaN,NaN,NaN
66,685,NaN,NaN,NaN
67,1119,NaN,NaN,NaN
68,748,NaN,NaN,NaN
69,706,NaN,NaN,NaN
70,775,NaN,NaN,NaN
71,1125,NaN,NaN,NaN
72,643,NaN,NaN,NaN
73,716,NaN,NaN,NaN
74,807,NaN,NaN,NaN
75,1104,NaN,NaN,NaN
76,659,NaN,NaN,NaN
77,664,NaN,NaN,NaN
78,608,NaN,NaN,NaN
79,1135,NaN,NaN,NaN
80,788,NaN,NaN,NaN
81,832,NaN,NaN,NaN
82,787,NaN,NaN,NaN
83,1050,NaN,NaN,NaN
84,692,NaN,NaN,NaN
85,689,NaN,NaN,NaN
86,653,NaN,NaN,NaN
87,926,NaN,NaN,NaN
88,775,NaN,NaN,NaN
89,691,NaN,NaN,NaN
90,710,NaN,NaN,NaN
91,1097,NaN,NaN,NaN
92,672,NaN,NaN,NaN
93,783,NaN,NaN,NaN
94,717,NaN,NaN,NaN
95,1105,NaN,NaN,NaN
96,717,NaN,NaN,NaN
97,808,NaN,NaN,NaN
98,635,NaN,NaN,NaN
99,1058,NaN,NaN,NaN
100,849,NaN,NaN,NaN
101,733,NaN,NaN,NaN
102,645,NaN,NaN,NaN
103,1323,NaN,NaN,NaN
104,684,NaN,NaN,NaN
105,739,NaN,NaN,NaN
106,879,NaN,NaN,NaN
107,1090,NaN,NaN,NaN
108,810,NaN,NaN,NaN
109,690,NaN,NaN,NaN
110,920,NaN,NaN,NaN
111,1112,NaN,NaN,NaN
112,849,NaN,NaN,NaN
113,861,NaN,NaN,NaN
114,677,NaN,NaN,NaN
115,1249,NaN,NaN,NaN
116,792,NaN,NaN,NaN
117,829,NaN,NaN,NaN
118,771,NaN,NaN,NaN
119,1084,NaN,NaN,NaN
120,813,NaN,NaN,NaN
121,984,NaN,NaN,NaN
122,732,NaN,NaN,NaN
123,1078,NaN,NaN,NaN
124,743,NaN,NaN,NaN
125,704,NaN,NaN,NaN
126,786,NaN,NaN,NaN
127,1175,NaN,NaN,NaN
128,865,NaN,NaN,NaN
129,831,NaN,NaN,NaN
130,854,NaN,NaN,NaN
131,1100,NaN,NaN,NaN
132,682,NaN,NaN,NaN
133,712,NaN,NaN,NaN
134,889,NaN,NaN,NaN
135,1161,NaN,NaN,NaN
136,856,NaN,NaN,NaN
137,874,NaN,NaN,NaN
138,835,NaN,NaN,NaN
139,1253,NaN,NaN,NaN
140,945,NaN,NaN,NaN
141,756,NaN,NaN,NaN
142,786,NaN,NaN,NaN
143,1402,NaN,NaN,NaN
144,681,NaN,NaN,NaN
145,836,NaN,NaN,NaN
146,900,NaN,NaN,NaN
147,1215,NaN,NaN,NaN
148,826,NaN,NaN,NaN
149,938,NaN,NaN,NaN
150,712,NaN,NaN,NaN
151,1284,NaN,NaN,NaN
152,936,NaN,NaN,NaN
153,774,NaN,NaN,NaN
154,829,NaN,NaN,NaN
155,1482,NaN,NaN,NaN
156,838,NaN,NaN,NaN
157,708,NaN,NaN,NaN
158,993,NaN,NaN,NaN
159,1449,NaN,NaN,NaN
160,828,NaN,NaN,NaN
161,962,NaN,NaN,NaN
162,852,NaN,NaN,NaN
163,1450,NaN,NaN,NaN
164,719,NaN,NaN,NaN
165,682,NaN,NaN,NaN
166,960,NaN,NaN,NaN
167,1308,NaN,NaN,NaN
168,841,NaN,NaN,NaN
169,1021,NaN,NaN,NaN
170,877,NaN,NaN,NaN
171,1506,NaN,NaN,NaN
172,970,NaN,NaN,NaN
173,805,NaN,NaN,NaN
174,1122,NaN,NaN,NaN
175,1507,NaN,NaN,NaN
176,655,NaN,NaN,NaN
177,735,NaN,NaN,NaN
178,689,NaN,NaN,NaN
179,1243,NaN,NaN,NaN
180,843,NaN,NaN,NaN
181,835,NaN,NaN,NaN
182,666,NaN,NaN,NaN
183,1226,NaN,NaN,NaN
184,801,NaN,NaN,NaN
185,745,NaN,NaN,NaN
186,659,NaN,NaN,NaN
187,1239,NaN,NaN,NaN
188,768,NaN,NaN,NaN
189,708,NaN,NaN,NaN
190,657,NaN,NaN,NaN
191,1282,NaN,NaN,NaN
192,667,NaN,NaN,NaN
193,745,NaN,NaN,NaN
194,701,NaN,NaN,NaN
195,1427,NaN,NaN,NaN
196,881,NaN,NaN,NaN
197,887,NaN,NaN,NaN
198,846,NaN,NaN,NaN
199,1339,NaN,NaN,NaN
200,852,NaN,NaN,NaN
201,716,NaN,NaN,NaN
202,926,NaN,NaN,NaN
203,1303,NaN,NaN,NaN
204,684,NaN,NaN,NaN
205,762,NaN,NaN,NaN
206,876,NaN,NaN,NaN
207,1391,NaN,NaN,NaN
208,836,NaN,NaN,NaN
209,771,NaN,NaN,NaN
210,713,NaN,NaN,NaN
211,1575,NaN,NaN,NaN
212,695,NaN,NaN,NaN
213,736,NaN,NaN,NaN
214,949,NaN,NaN,NaN
215,1485,NaN,NaN,NaN
216,711,NaN,NaN,NaN
217,952,NaN,NaN,NaN
218,816,NaN,NaN,NaN
219,1420,NaN,NaN,NaN
220,907,NaN,NaN,NaN
221,910,NaN,NaN,NaN
222,974,NaN,NaN,NaN
223,1381,NaN,NaN,NaN
224,777,NaN,NaN,NaN
225,950,NaN,NaN,NaN
226,823,NaN,NaN,NaN
227,1617,NaN,NaN,NaN
228,1006,NaN,NaN,NaN
229,872,NaN,NaN,NaN
230,906,NaN,NaN,NaN
231,1542,NaN,NaN,NaN
232,874,NaN,NaN,NaN
233,839,NaN,NaN,NaN
234,1049,NaN,NaN,NaN
235,1456,NaN,NaN,NaN
236,931,NaN,NaN,NaN
237,780,NaN,NaN,NaN
238,868,NaN,NaN,NaN
239,1664,NaN,NaN,NaN
240,762,NaN,NaN,NaN
241,733,NaN,NaN,NaN
242,713,NaN,NaN,NaN
243,1501,NaN,NaN,NaN
244,770,NaN,NaN,NaN
245,762,NaN,NaN,NaN
246,983,NaN,NaN,NaN
247,1621,NaN,NaN,NaN
248,994,NaN,NaN,NaN
249,808,NaN,NaN,NaN
250,1010,NaN,NaN,NaN
251,1553,NaN,NaN,NaN
252,951,NaN,NaN,NaN
253,802,NaN,NaN,NaN
254,933,NaN,NaN,NaN
255,1742,NaN,NaN,NaN
256,705,NaN,NaN,NaN
257,786,NaN,NaN,NaN
258,1158,NaN,NaN,NaN
259,1769,NaN,NaN,NaN
260,954,NaN,NaN,NaN
261,802,NaN,NaN,NaN
262,797,NaN,NaN,NaN
263,1732,NaN,NaN,NaN
264,910,NaN,NaN,NaN
265,752,NaN,NaN,NaN
266,922,NaN,NaN,NaN
267,1770,NaN,NaN,NaN
268,907,NaN,NaN,NaN
269,971,NaN,NaN,NaN
270,756,NaN,NaN,NaN
271,1579,NaN,NaN,NaN
272,985,NaN,NaN,NaN
273,917,NaN,NaN,NaN
274,1003,NaN,NaN,NaN
275,1837,NaN,NaN,NaN
276,889,NaN,NaN,NaN
277,814,NaN,NaN,NaN
278,952,NaN,NaN,NaN
279,1780,NaN,NaN,NaN
280,778,NaN,NaN,NaN
281,973,NaN,NaN,NaN
282,758,NaN,NaN,NaN
283,1653,NaN,NaN,NaN
284,958,NaN,NaN,NaN
285,829,NaN,NaN,NaN
286,813,NaN,NaN,NaN
287,1610,NaN,NaN,NaN
288,1187,NaN,NaN,NaN
289,999,NaN,NaN,NaN
290,1033,NaN,NaN,NaN
291,1671,NaN,NaN,NaN
292,933,NaN,NaN,NaN
293,746,NaN,NaN,NaN
294,1047,NaN,NaN,NaN
295,1682,NaN,NaN,NaN
296,1106,NaN,NaN,NaN
297,1006,NaN,NaN,NaN
298,863,NaN,NaN,NaN
299,1912,NaN,NaN,NaN
300,1125,NaN,NaN,NaN
301,780,NaN,NaN,NaN
302,962,NaN,NaN,NaN
303,2096,NaN,NaN,NaN
304,1232,NaN,NaN,NaN
305,757,NaN,NaN,NaN
306,1046,NaN,NaN,NaN
307,1722,NaN,NaN,NaN
308,839,NaN,NaN,NaN
309,977,NaN,NaN,NaN
310,880,NaN,NaN,NaN
311,1847,NaN,NaN,NaN
312,1072,NaN,NaN,NaN
313,804,NaN,NaN,NaN
314,865,NaN,NaN,NaN
315,1944,NaN,NaN,NaN
316,969,NaN,NaN,NaN
317,847,NaN,NaN,NaN
318,991,NaN,NaN,NaN
319,1776,NaN,NaN,NaN
320,946,NaN,NaN,NaN
321,744,NaN,NaN,NaN
322,1003,NaN,NaN,NaN
323,1823,NaN,NaN,NaN
324,995,NaN,NaN,NaN
325,735,NaN,NaN,NaN
326,788,NaN,NaN,NaN
327,1826,NaN,NaN,NaN
328,831,NaN,NaN,NaN
329,826,NaN,NaN,NaN
330,1091,NaN,NaN,NaN
331,1711,NaN,NaN,NaN
332,1066,NaN,NaN,NaN
333,959,NaN,NaN,NaN
334,967,NaN,NaN,NaN
335,1812,NaN,NaN,NaN
336,866,NaN,NaN,NaN
337,747,NaN,NaN,NaN
338,980,NaN,NaN,NaN
339,2036,NaN,NaN,NaN
340,1003,NaN,NaN,NaN
341,797,NaN,NaN,NaN
342,999,NaN,NaN,NaN
343,1765,NaN,NaN,NaN
344,913,NaN,NaN,NaN
345,853,NaN,NaN,NaN
346,956,NaN,NaN,NaN
347,1828,NaN,NaN,NaN
348,918,NaN,NaN,NaN
349,958,NaN,NaN,NaN
350,1016,NaN,NaN,NaN
351,1890,NaN,NaN,NaN
352,883,NaN,NaN,NaN
353,1036,NaN,NaN,NaN
354,780,NaN,NaN,NaN
355,1812,NaN,NaN,NaN
356,1051,NaN,NaN,NaN
357,829,NaN,NaN,NaN
358,865,NaN,NaN,NaN
359,1815,NaN,NaN,NaN
360,894,NaN,NaN,NaN
361,924,NaN,NaN,NaN
362,987,NaN,NaN,NaN
363,2069,NaN,NaN,NaN
364,984,NaN,NaN,NaN
365,944,NaN,NaN,NaN
366,716,NaN,NaN,NaN
367,2183,NaN,NaN,NaN
368,888,NaN,NaN,NaN
369,896,NaN,NaN,NaN
370,958,NaN,NaN,NaN
371,2037,NaN,NaN,NaN
372,1048,NaN,NaN,NaN
373,854,NaN,NaN,NaN
374,818,NaN,NaN,NaN
