,Q2
0,2107
1,1101
2,708
3,743
4,686
5,706
6,748
7,688
8,769
9,713
10,719
11,786
12,735
13,815
14,743
15,715
16,826
17,735
18,891
19,773
20,878
21,773
22,757
23,933
24,782
25,942
26,788
27,915
28,784
29,945
30,785
31,922
32,808
33,980
34,982
35,833
36,1006
37,797
38,1008
39,883
40,1073
41,1044
42,1039
43,891
44,1059
45,840
46,1106
47,1021
48,914
49,1076
50,1142
51,893
52,1213
53,1207
54,1195
55,1026
56,1249
57,1247
58,1053
59,1067
60,1248
61,1034
62,1190
63,1292
64,1335
65,760
66,752
67,684
68,752
69,682
70,822
71,744
72,826
73,717
74,882
75,760
76,905
77,797
78,901
79,888
80,783
81,952
82,800
83,910
84,836
85,958
86,759
87,968
88,838
89,965
90,802
91,985
92,826
93,1040
94,1029
95,889
96,1026
97,835
98,1103
99,1165
100,945
101,1174
102,1147
103,1249
104,1161
105,1216
106,968
107,1215
108,1220
109,1282
110,1284
111,1471
112,1323
113,1336
114,1338
115,1320
116,1370
117,1387
118,1429
119,1594
120,1299
121,1412
122,1444
123,1388
124,1396
125,1701
126,1489
127,1521
128,2198
129,782
130,754
131,673
132,689
133,770
134,732
135,836
136,735
137,754
138,699
139,860
140,764
141,846
142,795
143,909
144,950
145,782
146,817
147,981
148,972
149,827
150,947
151,801
152,1018
153,835
154,1014
155,1029
156,704
157,1062
158,819
159,1081
160,1110
161,858
162,1154
163,1224
164,1272
165,927
166,1229
167,1067
168,1305
169,1341
170,1366
171,1172
172,1264
173,1327
174,1332
175,1384
176,1412
177,1253
178,1404
179,1499
180,1423
181,1878
182,1526
183,1479
184,1833
185,1482
186,1894
187,1516
188,1974
189,1567
190,2064
191,2057
192,2489
193,916
194,693
195,797
196,726
197,821
198,719
199,842
200,748
