,Q2,Q3,Q4,rawData
0,2107,NaN,NaN,NaN
1,1101,NaN,NaN,NaN
2,708,NaN,NaN,NaN
3,743,NaN,NaN,NaN
4,686,NaN,NaN,NaN
5,706,NaN,NaN,NaN
6,748,NaN,NaN,NaN
7,688,NaN,NaN,NaN
8,769,NaN,NaN,NaN
9,713,NaN,NaN,NaN
10,719,NaN,NaN,NaN
11,786,NaN,NaN,NaN
12,735,NaN,NaN,NaN
13,815,NaN,NaN,NaN
14,743,NaN,NaN,NaN
15,715,NaN,NaN,NaN
16,826,NaN,NaN,NaN
17,735,NaN,NaN,NaN
18,891,NaN,NaN,NaN
19,773,NaN,NaN,NaN
20,878,NaN,NaN,NaN
21,773,NaN,NaN,NaN
22,757,NaN,NaN,NaN
23,933,NaN,NaN,NaN
24,782,NaN,NaN,NaN
25,942,NaN,NaN,NaN
26,788,NaN,NaN,NaN
27,915,NaN,NaN,NaN
28,784,NaN,NaN,NaN
29,945,NaN,NaN,NaN
30,785,NaN,NaN,NaN
31,922,NaN,NaN,NaN
32,808,NaN,NaN,NaN
33,980,NaN,NaN,NaN
34,982,NaN,NaN,NaN
35,833,NaN,NaN,NaN
36,1006,NaN,NaN,NaN
37,797,NaN,NaN,NaN
38,1008,NaN,NaN,NaN
39,883,NaN,NaN,NaN
40,1073,NaN,NaN,NaN
41,1044,NaN,NaN,NaN
42,1039,NaN,NaN,NaN
43,891,NaN,NaN,NaN
44,1059,NaN,NaN,NaN
45,840,NaN,NaN,NaN
46,1106,NaN,NaN,NaN
47,1021,NaN,NaN,NaN
48,914,NaN,NaN,NaN
49,1076,NaN,NaN,NaN
50,1142,NaN,NaN,NaN
51,893,NaN,NaN,NaN
52,1213,NaN,NaN,NaN
53,1207,NaN,NaN,NaN
54,1195,NaN,NaN,NaN
55,1026,NaN,NaN,NaN
56,1249,NaN,NaN,NaN
57,1247,NaN,NaN,NaN
58,1053,NaN,NaN,NaN
59,1067,NaN,NaN,NaN
60,1248,NaN,NaN,NaN
61,1034,NaN,NaN,NaN
62,1190,NaN,NaN,NaN
63,1292,NaN,NaN,NaN
64,1335,NaN,NaN,NaN
65,760,NaN,NaN,NaN
66,752,NaN,NaN,NaN
67,684,NaN,NaN,NaN
68,752,NaN,NaN,NaN
69,682,NaN,NaN,NaN
70,822,NaN,NaN,NaN
71,744,NaN,NaN,NaN
72,826,NaN,NaN,NaN
73,717,NaN,NaN,NaN
74,882,NaN,NaN,NaN
75,760,NaN,NaN,NaN
76,905,NaN,NaN,NaN
77,797,NaN,NaN,NaN
78,901,NaN,NaN,NaN
79,888,NaN,NaN,NaN
80,783,NaN,NaN,NaN
81,952,NaN,NaN,NaN
82,800,NaN,NaN,NaN
83,910,NaN,NaN,NaN
84,836,NaN,NaN,NaN
85,958,NaN,NaN,NaN
86,759,NaN,NaN,NaN
87,968,NaN,NaN,NaN
88,838,NaN,NaN,NaN
89,965,NaN,NaN,NaN
90,802,NaN,NaN,NaN
91,985,NaN,NaN,NaN
92,826,NaN,NaN,NaN
93,1040,NaN,NaN,NaN
94,1029,NaN,NaN,NaN
95,889,NaN,NaN,NaN
96,1026,NaN,NaN,NaN
97,835,NaN,NaN,NaN
98,1103,NaN,NaN,NaN
99,1165,NaN,NaN,NaN
100,945,NaN,NaN,NaN
101,1174,NaN,NaN,NaN
102,1147,NaN,NaN,NaN
103,1249,NaN,NaN,NaN
104,1161,NaN,NaN,NaN
105,1216,NaN,NaN,NaN
106,968,NaN,NaN,NaN
107,1215,NaN,NaN,NaN
108,1220,NaN,NaN,NaN
109,1282,NaN,NaN,NaN
110,1284,NaN,NaN,NaN
111,1471,NaN,NaN,NaN
112,1323,NaN,NaN,NaN
