,Q2,Q3,Q4,rawData
0,5699,NaN,NaN,NaN
1,2560,NaN,NaN,NaN
2,1848,NaN,NaN,NaN
3,1323,NaN,NaN,NaN
4,1587,NaN,NaN,NaN
5,1212,NaN,NaN,NaN
6,1503,NaN,NaN,NaN
7,1469,NaN,NaN,NaN
8,1312,NaN,NaN,NaN
9,1257,NaN,NaN,NaN
10,1323,NaN,NaN,NaN
11,1335,NaN,NaN,NaN
12,1770,NaN,NaN,NaN
13,1281,NaN,NaN,NaN
14,1390,NaN,NaN,NaN
15,1480,NaN,NaN,NaN
16,1593,NaN,NaN,NaN
17,1274,NaN,NaN,NaN
18,1538,NaN,NaN,NaN
19,1382,NaN,NaN,NaN
20,1467,NaN,NaN,NaN
21,1244,NaN,NaN,NaN
22,1506,NaN,NaN,NaN
23,1426,NaN,NaN,NaN
24,1659,NaN,NaN,NaN
25,1478,NaN,NaN,NaN
26,1345,NaN,NaN,NaN
27,1412,NaN,NaN,NaN
28,1586,NaN,NaN,NaN
29,1396,NaN,NaN,NaN
30,1332,NaN,NaN,NaN
31,1524,NaN,NaN,NaN
32,1648,NaN,NaN,NaN
33,1546,NaN,NaN,NaN
34,1739,NaN,NaN,NaN
35,1411,NaN,NaN,NaN
36,1578,NaN,NaN,NaN
37,1316,NaN,NaN,NaN
38,1287,NaN,NaN,NaN
39,1486,NaN,NaN,NaN
40,1568,NaN,NaN,NaN
41,1654,NaN,NaN,NaN
42,1438,NaN,NaN,NaN
43,1487,NaN,NaN,NaN
44,1757,NaN,NaN,NaN
45,1399,NaN,NaN,NaN
46,1376,NaN,NaN,NaN
47,1318,NaN,NaN,NaN
48,1550,NaN,NaN,NaN
49,1565,NaN,NaN,NaN
50,1433,NaN,NaN,NaN
51,1405,NaN,NaN,NaN
52,1549,NaN,NaN,NaN
53,1397,NaN,NaN,NaN
54,1336,NaN,NaN,NaN
55,1358,NaN,NaN,NaN
56,1566,NaN,NaN,NaN
57,1265,NaN,NaN,NaN
58,1664,NaN,NaN,NaN
59,1505,NaN,NaN,NaN
60,2057,NaN,NaN,NaN
61,1399,NaN,NaN,NaN
62,1382,NaN,NaN,NaN
63,1466,NaN,NaN,NaN
64,1888,NaN,NaN,NaN
65,1651,NaN,NaN,NaN
66,1361,NaN,NaN,NaN
67,1688,NaN,NaN,NaN
68,1649,NaN,NaN,NaN
69,1402,NaN,NaN,NaN
70,1398,NaN,NaN,NaN
71,1768,NaN,NaN,NaN
72,1801,NaN,NaN,NaN
73,1334,NaN,NaN,NaN
74,1427,NaN,NaN,NaN
75,1535,NaN,NaN,NaN
76,1844,NaN,NaN,NaN
77,1274,NaN,NaN,NaN
78,1442,NaN,NaN,NaN
79,1809,NaN,NaN,NaN
80,2299,NaN,NaN,NaN
81,1366,NaN,NaN,NaN
82,1490,NaN,NaN,NaN
83,1730,NaN,NaN,NaN
84,2133,NaN,NaN,NaN
85,1649,NaN,NaN,NaN
86,1327,NaN,NaN,NaN
87,1637,NaN,NaN,NaN
88,1741,NaN,NaN,NaN
89,1665,NaN,NaN,NaN
90,1591,NaN,NaN,NaN
91,1689,NaN,NaN,NaN
92,1858,NaN,NaN,NaN
93,1477,NaN,NaN,NaN
94,1230,NaN,NaN,NaN
95,1515,NaN,NaN,NaN
96,1819,NaN,NaN,NaN
97,1334,NaN,NaN,NaN
98,1265,NaN,NaN,NaN
99,1545,NaN,NaN,NaN
100,2206,NaN,NaN,NaN
101,1384,NaN,NaN,NaN
102,1547,NaN,NaN,NaN
103,1669,NaN,NaN,NaN
104,2341,NaN,NaN,NaN
105,1275,NaN,NaN,NaN
106,1262,NaN,NaN,NaN
107,1848,NaN,NaN,NaN
108,1970,NaN,NaN,NaN
109,1373,NaN,NaN,NaN
110,1398,NaN,NaN,NaN
111,1561,NaN,NaN,NaN
112,2450,NaN,NaN,NaN
113,1624,NaN,NaN,NaN
114,1301,NaN,NaN,NaN
115,1703,NaN,NaN,NaN
116,2630,NaN,NaN,NaN
117,1654,NaN,NaN,NaN
118,1718,NaN,NaN,NaN
119,1753,NaN,NaN,NaN
120,2058,NaN,NaN,NaN
121,1402,NaN,NaN,NaN
122,1403,NaN,NaN,NaN
123,1449,NaN,NaN,NaN
124,2066,NaN,NaN,NaN
125,1402,NaN,NaN,NaN
126,1510,NaN,NaN,NaN
127,1599,NaN,NaN,NaN
128,2362,NaN,NaN,NaN
129,1467,NaN,NaN,NaN
130,1705,NaN,NaN,NaN
131,1490,NaN,NaN,NaN
132,2340,NaN,NaN,NaN
133,1451,NaN,NaN,NaN
134,1498,NaN,NaN,NaN
135,1634,NaN,NaN,NaN
136,2117,NaN,NaN,NaN
137,1420,NaN,NaN,NaN
138,1260,NaN,NaN,NaN
