,Q2,Q3,Q4,rawData
187,2604,NaN,NaN,NaN
188,1693,NaN,NaN,NaN
189,1432,NaN,NaN,NaN
190,1386,NaN,NaN,NaN
191,2661,NaN,NaN,NaN
192,2747,NaN,NaN,NaN
193,1425,NaN,NaN,NaN
194,1301,NaN,NaN,NaN
195,1516,NaN,NaN,NaN
196,1403,NaN,NaN,NaN
197,1604,NaN,NaN,NaN
198,1319,NaN,NaN,NaN
199,1630,NaN,NaN,NaN
200,1322,NaN,NaN,NaN
201,1350,NaN,NaN,NaN
202,1380,NaN,NaN,NaN
203,1557,NaN,NaN,NaN
204,1443,NaN,NaN,NaN
205,1437,NaN,NaN,NaN
206,1454,NaN,NaN,NaN
207,1327,NaN,NaN,NaN
208,1347,NaN,NaN,NaN
209,1591,NaN,NaN,NaN
210,1465,NaN,NaN,NaN
211,1782,NaN,NaN,NaN
212,1404,NaN,NaN,NaN
213,1610,NaN,NaN,NaN
214,1412,NaN,NaN,NaN
215,1846,NaN,NaN,NaN
216,1809,NaN,NaN,NaN
217,1811,NaN,NaN,NaN
218,1938,NaN,NaN,NaN
219,1522,NaN,NaN,NaN
220,1487,NaN,NaN,NaN
221,1608,NaN,NaN,NaN
222,2441,NaN,NaN,NaN
223,2970,NaN,NaN,NaN
224,3158,NaN,NaN,NaN
225,1983,NaN,NaN,NaN
226,1464,NaN,NaN,NaN
227,1846,NaN,NaN,NaN
228,1265,NaN,NaN,NaN
229,1459,NaN,NaN,NaN
230,1401,NaN,NaN,NaN
231,1764,NaN,NaN,NaN
232,1453,NaN,NaN,NaN
233,1453,NaN,NaN,NaN
234,1369,NaN,NaN,NaN
235,1581,NaN,NaN,NaN
236,1413,NaN,NaN,NaN
237,1675,NaN,NaN,NaN
238,2025,NaN,NaN,NaN
239,2015,NaN,NaN,NaN
240,1991,NaN,NaN,NaN
241,1932,NaN,NaN,NaN
242,1568,NaN,NaN,NaN
243,1697,NaN,NaN,NaN
244,1410,NaN,NaN,NaN
245,1378,NaN,NaN,NaN
246,1586,NaN,NaN,NaN
247,2280,NaN,NaN,NaN
248,2154,NaN,NaN,NaN
249,2367,NaN,NaN,NaN
250,1572,NaN,NaN,NaN
251,1839,NaN,NaN,NaN
252,1972,NaN,NaN,NaN
253,2427,NaN,NaN,NaN
254,2571,NaN,NaN,NaN
255,3537,NaN,NaN,NaN
256,3537,NaN,NaN,NaN
257,2012,NaN,NaN,NaN
258,1314,NaN,NaN,NaN
259,1550,NaN,NaN,NaN
260,1289,NaN,NaN,NaN
261,2055,NaN,NaN,NaN
262,1921,NaN,NaN,NaN
263,1510,NaN,NaN,NaN
264,1331,NaN,NaN,NaN
265,1301,NaN,NaN,NaN
266,1725,NaN,NaN,NaN
267,1487,NaN,NaN,NaN
268,1733,NaN,NaN,NaN
269,1922,NaN,NaN,NaN
270,1485,NaN,NaN,NaN
271,1446,NaN,NaN,NaN
272,1522,NaN,NaN,NaN
273,1685,NaN,NaN,NaN
274,1995,NaN,NaN,NaN
275,1581,NaN,NaN,NaN
276,1336,NaN,NaN,NaN
277,1433,NaN,NaN,NaN
278,1637,NaN,NaN,NaN
279,1700,NaN,NaN,NaN
280,2756,NaN,NaN,NaN
281,2239,NaN,NaN,NaN
282,2070,NaN,NaN,NaN
283,1692,NaN,NaN,NaN
284,2543,NaN,NaN,NaN
285,2599,NaN,NaN,NaN
286,2400,NaN,NaN,NaN
287,2758,NaN,NaN,NaN
288,5079,NaN,NaN,NaN
289,2182,NaN,NaN,NaN
290,1677,NaN,NaN,NaN
291,1550,NaN,NaN,NaN
292,1332,NaN,NaN,NaN
293,1454,NaN,NaN,NaN
294,1366,NaN,NaN,NaN
295,1499,NaN,NaN,NaN
296,1880,NaN,NaN,NaN
297,1660,NaN,NaN,NaN
