,Q2,Q3,Q4,rawData
0,2124,NaN,NaN,NaN
1,1566,NaN,NaN,NaN
2,1054,NaN,NaN,NaN
3,675,NaN,NaN,NaN
4,846,NaN,NaN,NaN
5,606,NaN,NaN,NaN
6,850,NaN,NaN,NaN
7,778,NaN,NaN,NaN
8,668,NaN,NaN,NaN
9,627,NaN,NaN,NaN
10,657,NaN,NaN,NaN
11,690,NaN,NaN,NaN
12,1089,NaN,NaN,NaN
13,628,NaN,NaN,NaN
14,728,NaN,NaN,NaN
15,781,NaN,NaN,NaN
16,858,NaN,NaN,NaN
17,631,NaN,NaN,NaN
18,861,NaN,NaN,NaN
19,689,NaN,NaN,NaN
20,766,NaN,NaN,NaN
21,615,NaN,NaN,NaN
22,852,NaN,NaN,NaN
23,750,NaN,NaN,NaN
24,931,NaN,NaN,NaN
25,840,NaN,NaN,NaN
26,686,NaN,NaN,NaN
27,669,NaN,NaN,NaN
28,897,NaN,NaN,NaN
29,700,NaN,NaN,NaN
30,649,NaN,NaN,NaN
31,745,NaN,NaN,NaN
32,899,NaN,NaN,NaN
33,894,NaN,NaN,NaN
34,1081,NaN,NaN,NaN
35,666,NaN,NaN,NaN
36,886,NaN,NaN,NaN
37,634,NaN,NaN,NaN
38,631,NaN,NaN,NaN
39,715,NaN,NaN,NaN
40,850,NaN,NaN,NaN
41,942,NaN,NaN,NaN
42,738,NaN,NaN,NaN
43,789,NaN,NaN,NaN
44,919,NaN,NaN,NaN
45,696,NaN,NaN,NaN
46,740,NaN,NaN,NaN
47,660,NaN,NaN,NaN
48,898,NaN,NaN,NaN
49,875,NaN,NaN,NaN
50,829,NaN,NaN,NaN
51,717,NaN,NaN,NaN
52,838,NaN,NaN,NaN
53,788,NaN,NaN,NaN
54,679,NaN,NaN,NaN
55,665,NaN,NaN,NaN
56,899,NaN,NaN,NaN
57,674,NaN,NaN,NaN
58,1031,NaN,NaN,NaN
59,734,NaN,NaN,NaN
60,1312,NaN,NaN,NaN
61,748,NaN,NaN,NaN
62,762,NaN,NaN,NaN
63,716,NaN,NaN,NaN
64,1056,NaN,NaN,NaN
65,1007,NaN,NaN,NaN
66,716,NaN,NaN,NaN
67,908,NaN,NaN,NaN
68,916,NaN,NaN,NaN
69,740,NaN,NaN,NaN
70,695,NaN,NaN,NaN
71,975,NaN,NaN,NaN
72,980,NaN,NaN,NaN
73,688,NaN,NaN,NaN
74,787,NaN,NaN,NaN
75,723,NaN,NaN,NaN
76,1057,NaN,NaN,NaN
77,595,NaN,NaN,NaN
78,793,NaN,NaN,NaN
79,959,NaN,NaN,NaN
80,1420,NaN,NaN,NaN
81,699,NaN,NaN,NaN
82,815,NaN,NaN,NaN
83,955,NaN,NaN,NaN
84,1286,NaN,NaN,NaN
85,927,NaN,NaN,NaN
86,747,NaN,NaN,NaN
87,898,NaN,NaN,NaN
88,986,NaN,NaN,NaN
89,1029,NaN,NaN,NaN
90,939,NaN,NaN,NaN
91,946,NaN,NaN,NaN
92,1074,NaN,NaN,NaN
93,848,NaN,NaN,NaN
94,639,NaN,NaN,NaN
95,718,NaN,NaN,NaN
96,1053,NaN,NaN,NaN
97,718,NaN,NaN,NaN
98,653,NaN,NaN,NaN
99,695,NaN,NaN,NaN
100,1380,NaN,NaN,NaN
101,748,NaN,NaN,NaN
102,882,NaN,NaN,NaN
103,897,NaN,NaN,NaN
104,1419,NaN,NaN,NaN
105,635,NaN,NaN,NaN
106,604,NaN,NaN,NaN
107,1079,NaN,NaN,NaN
108,1101,NaN,NaN,NaN
109,703,NaN,NaN,NaN
110,750,NaN,NaN,NaN
111,759,NaN,NaN,NaN
112,1568,NaN,NaN,NaN
113,958,NaN,NaN,NaN
114,641,NaN,NaN,NaN
115,848,NaN,NaN,NaN
116,1636,NaN,NaN,NaN
117,961,NaN,NaN,NaN
118,1039,NaN,NaN,NaN
119,865,NaN,NaN,NaN
120,1244,NaN,NaN,NaN
121,741,NaN,NaN,NaN
122,825,NaN,NaN,NaN
123,728,NaN,NaN,NaN
124,1252,NaN,NaN,NaN
125,725,NaN,NaN,NaN
126,910,NaN,NaN,NaN
127,841,NaN,NaN,NaN
128,1477,NaN,NaN,NaN
129,774,NaN,NaN,NaN
130,1083,NaN,NaN,NaN
131,704,NaN,NaN,NaN
132,1483,NaN,NaN,NaN
133,761,NaN,NaN,NaN
134,850,NaN,NaN,NaN
135,787,NaN,NaN,NaN
136,1263,NaN,NaN,NaN
137,713,NaN,NaN,NaN
138,595,NaN,NaN,NaN
139,1299,NaN,NaN,NaN
140,1488,NaN,NaN,NaN
141,737,NaN,NaN,NaN
142,913,NaN,NaN,NaN
143,839,NaN,NaN,NaN
144,1326,NaN,NaN,NaN
145,617,NaN,NaN,NaN
146,910,NaN,NaN,NaN
147,838,NaN,NaN,NaN
148,1331,NaN,NaN,NaN
149,758,NaN,NaN,NaN
150,903,NaN,NaN,NaN
151,951,NaN,NaN,NaN
152,1792,NaN,NaN,NaN
153,781,NaN,NaN,NaN
154,735,NaN,NaN,NaN
155,818,NaN,NaN,NaN
156,1425,NaN,NaN,NaN
157,987,NaN,NaN,NaN
158,938,NaN,NaN,NaN
159,752,NaN,NaN,NaN
160,1346,NaN,NaN,NaN
161,949,NaN,NaN,NaN
162,970,NaN,NaN,NaN
163,682,NaN,NaN,NaN
164,1524,NaN,NaN,NaN
165,744,NaN,NaN,NaN
166,800,NaN,NaN,NaN
167,675,NaN,NaN,NaN
168,1586,NaN,NaN,NaN
169,1054,NaN,NaN,NaN
170,662,NaN,NaN,NaN
171,788,NaN,NaN,NaN
172,1605,NaN,NaN,NaN
173,1005,NaN,NaN,NaN
174,915,NaN,NaN,NaN
175,1152,NaN,NaN,NaN
176,1505,NaN,NaN,NaN
177,813,NaN,NaN,NaN
178,707,NaN,NaN,NaN
179,705,NaN,NaN,NaN
180,1693,NaN,NaN,NaN
181,1078,NaN,NaN,NaN
182,680,NaN,NaN,NaN
183,745,NaN,NaN,NaN
184,1632,NaN,NaN,NaN
185,1000,NaN,NaN,NaN
186,1172,NaN,NaN,NaN
187,822,NaN,NaN,NaN
188,1664,NaN,NaN,NaN
189,959,NaN,NaN,NaN
190,1063,NaN,NaN,NaN
191,1086,NaN,NaN,NaN
192,1720,NaN,NaN,NaN
193,1099,NaN,NaN,NaN
194,892,NaN,NaN,NaN
195,776,NaN,NaN,NaN
196,1833,NaN,NaN,NaN
197,717,NaN,NaN,NaN
198,694,NaN,NaN,NaN
199,911,NaN,NaN,NaN
200,1981,NaN,NaN,NaN
201,761,NaN,NaN,NaN
202,642,NaN,NaN,NaN
203,1136,NaN,NaN,NaN
204,1671,NaN,NaN,NaN
205,646,NaN,NaN,NaN
206,759,NaN,NaN,NaN
207,976,NaN,NaN,NaN
208,1673,NaN,NaN,NaN
209,857,NaN,NaN,NaN
210,755,NaN,NaN,NaN
211,772,NaN,NaN,NaN
212,1872,NaN,NaN,NaN
213,1318,NaN,NaN,NaN
214,914,NaN,NaN,NaN
215,852,NaN,NaN,NaN
216,1882,NaN,NaN,NaN
217,702,NaN,NaN,NaN
218,804,NaN,NaN,NaN
219,713,NaN,NaN,NaN
220,1791,NaN,NaN,NaN
221,1098,NaN,NaN,NaN
222,608,NaN,NaN,NaN
223,1266,NaN,NaN,NaN
224,2011,NaN,NaN,NaN
225,783,NaN,NaN,NaN
226,702,NaN,NaN,NaN
227,891,NaN,NaN,NaN
228,2259,NaN,NaN,NaN
229,1069,NaN,NaN,NaN
230,836,NaN,NaN,NaN
231,987,NaN,NaN,NaN
232,1961,NaN,NaN,NaN
233,965,NaN,NaN,NaN
234,695,NaN,NaN,NaN
235,1021,NaN,NaN,NaN
236,2616,NaN,NaN,NaN
237,1631,NaN,NaN,NaN
238,777,NaN,NaN,NaN
239,1278,NaN,NaN,NaN
240,2210,NaN,NaN,NaN
241,1380,NaN,NaN,NaN
242,867,NaN,NaN,NaN
243,923,NaN,NaN,NaN
244,1938,NaN,NaN,NaN
245,834,NaN,NaN,NaN
246,992,NaN,NaN,NaN
247,1026,NaN,NaN,NaN
248,2314,NaN,NaN,NaN
249,1589,NaN,NaN,NaN
250,959,NaN,NaN,NaN
251,1516,NaN,NaN,NaN
252,2031,NaN,NaN,NaN
253,650,NaN,NaN,NaN
254,706,NaN,NaN,NaN
255,1170,NaN,NaN,NaN
256,1984,NaN,NaN,NaN
257,753,NaN,NaN,NaN
258,693,NaN,NaN,NaN
259,828,NaN,NaN,NaN
260,2010,NaN,NaN,NaN
261,1218,NaN,NaN,NaN
262,661,NaN,NaN,NaN
263,900,NaN,NaN,NaN
264,2147,NaN,NaN,NaN
265,799,NaN,NaN,NaN
266,685,NaN,NaN,NaN
267,1106,NaN,NaN,NaN
268,2105,NaN,NaN,NaN
269,1267,NaN,NaN,NaN
270,1178,NaN,NaN,NaN
271,1099,NaN,NaN,NaN
272,2441,NaN,NaN,NaN
273,1431,NaN,NaN,NaN
274,1281,NaN,NaN,NaN
275,1093,NaN,NaN,NaN
276,2110,NaN,NaN,NaN
277,1121,NaN,NaN,NaN
278,773,NaN,NaN,NaN
279,887,NaN,NaN,NaN
280,2283,NaN,NaN,NaN
281,1518,NaN,NaN,NaN
282,971,NaN,NaN,NaN
283,1212,NaN,NaN,NaN
284,2431,NaN,NaN,NaN
285,1704,NaN,NaN,NaN
286,910,NaN,NaN,NaN
287,870,NaN,NaN,NaN
288,2484,NaN,NaN,NaN
289,1253,NaN,NaN,NaN
290,1128,NaN,NaN,NaN
291,1082,NaN,NaN,NaN
292,2350,NaN,NaN,NaN
293,1004,NaN,NaN,NaN
294,992,NaN,NaN,NaN
295,926,NaN,NaN,NaN
296,2328,NaN,NaN,NaN
297,919,NaN,NaN,NaN
298,670,NaN,NaN,NaN
299,1046,NaN,NaN,NaN
300,2601,NaN,NaN,NaN
301,1433,NaN,NaN,NaN
302,961,NaN,NaN,NaN
303,872,NaN,NaN,NaN
304,2405,NaN,NaN,NaN
305,930,NaN,NaN,NaN
306,904,NaN,NaN,NaN
307,871,NaN,NaN,NaN
308,2373,NaN,NaN,NaN
309,1753,NaN,NaN,NaN
310,783,NaN,NaN,NaN
311,845,NaN,NaN,NaN
312,2969,NaN,NaN,NaN
313,1346,NaN,NaN,NaN
314,857,NaN,NaN,NaN
315,1209,NaN,NaN,NaN
316,2791,NaN,NaN,NaN
317,901,NaN,NaN,NaN
318,852,NaN,NaN,NaN
319,1372,NaN,NaN,NaN
320,2720,NaN,NaN,NaN
321,1379,NaN,NaN,NaN
322,905,NaN,NaN,NaN
323,916,NaN,NaN,NaN
324,2603,NaN,NaN,NaN
325,1260,NaN,NaN,NaN
326,933,NaN,NaN,NaN
327,1432,NaN,NaN,NaN
328,2594,NaN,NaN,NaN
329,1420,NaN,NaN,NaN
330,762,NaN,NaN,NaN
331,1122,NaN,NaN,NaN
332,2778,NaN,NaN,NaN
333,1787,NaN,NaN,NaN
334,936,NaN,NaN,NaN
335,888,NaN,NaN,NaN
336,2930,NaN,NaN,NaN
337,1280,NaN,NaN,NaN
338,1273,NaN,NaN,NaN
339,1350,NaN,NaN,NaN
340,3459,NaN,NaN,NaN
341,1268,NaN,NaN,NaN
342,1254,NaN,NaN,NaN
343,1122,NaN,NaN,NaN
344,3054,NaN,NaN,NaN
345,918,NaN,NaN,NaN
346,723,NaN,NaN,NaN
347,935,NaN,NaN,NaN
348,3083,NaN,NaN,NaN
349,1380,NaN,NaN,NaN
350,733,NaN,NaN,NaN
351,882,NaN,NaN,NaN
352,2717,NaN,NaN,NaN
353,1489,NaN,NaN,NaN
354,942,NaN,NaN,NaN
355,1453,NaN,NaN,NaN
356,2870,NaN,NaN,NaN
357,1383,NaN,NaN,NaN
358,632,NaN,NaN,NaN
359,1043,NaN,NaN,NaN
360,3550,NaN,NaN,NaN
361,1155,NaN,NaN,NaN
362,849,NaN,NaN,NaN
363,948,NaN,NaN,NaN
364,3001,NaN,NaN,NaN
365,1409,NaN,NaN,NaN
366,1311,NaN,NaN,NaN
367,1315,NaN,NaN,NaN
368,3066,NaN,NaN,NaN
369,881,NaN,NaN,NaN
370,1158,NaN,NaN,NaN
371,1409,NaN,NaN,NaN
372,3393,NaN,NaN,NaN
373,1072,NaN,NaN,NaN
374,728,NaN,NaN,NaN
375,1627,NaN,NaN,NaN
376,3638,NaN,NaN,NaN
377,1673,NaN,NaN,NaN
378,975,NaN,NaN,NaN
379,1401,NaN,NaN,NaN
380,3167,NaN,NaN,NaN
381,1488,NaN,NaN,NaN
382,1225,NaN,NaN,NaN
383,992,NaN,NaN,NaN
384,3257,NaN,NaN,NaN
385,1464,NaN,NaN,NaN
386,873,NaN,NaN,NaN
387,1132,NaN,NaN,NaN
388,3411,NaN,NaN,NaN
389,1554,NaN,NaN,NaN
390,796,NaN,NaN,NaN
391,1651,NaN,NaN,NaN
392,3307,NaN,NaN,NaN
393,1762,NaN,NaN,NaN
394,1014,NaN,NaN,NaN
395,1051,NaN,NaN,NaN
396,3285,NaN,NaN,NaN
397,1171,NaN,NaN,NaN
398,685,NaN,NaN,NaN
399,1199,NaN,NaN,NaN
400,3522,NaN,NaN,NaN
401,1604,NaN,NaN,NaN
402,1180,NaN,NaN,NaN
403,1456,NaN,NaN,NaN
404,3559,NaN,NaN,NaN
405,1485,NaN,NaN,NaN
406,1114,NaN,NaN,NaN
407,1135,NaN,NaN,NaN
408,3414,NaN,NaN,NaN
