,Q2,Q3,Q4,rawData
0,5664,NaN,NaN,NaN
1,2149,NaN,NaN,NaN
2,1431,NaN,NaN,NaN
3,1608,NaN,NaN,NaN
4,1281,NaN,NaN,NaN
5,1739,NaN,NaN,NaN
6,1454,NaN,NaN,NaN
7,1499,NaN,NaN,NaN
8,1302,NaN,NaN,NaN
9,1367,NaN,NaN,NaN
10,1534,NaN,NaN,NaN
11,1422,NaN,NaN,NaN
12,1692,NaN,NaN,NaN
13,1311,NaN,NaN,NaN
14,1419,NaN,NaN,NaN
15,1549,NaN,NaN,NaN
16,1697,NaN,NaN,NaN
17,1249,NaN,NaN,NaN
18,1758,NaN,NaN,NaN
19,1454,NaN,NaN,NaN
20,1391,NaN,NaN,NaN
21,1337,NaN,NaN,NaN
22,1466,NaN,NaN,NaN
23,1430,NaN,NaN,NaN
24,1386,NaN,NaN,NaN
25,1536,NaN,NaN,NaN
26,1485,NaN,NaN,NaN
27,1604,NaN,NaN,NaN
28,1328,NaN,NaN,NaN
29,1805,NaN,NaN,NaN
30,1456,NaN,NaN,NaN
31,2049,NaN,NaN,NaN
32,1970,NaN,NaN,NaN
33,1565,NaN,NaN,NaN
34,1576,NaN,NaN,NaN
35,1692,NaN,NaN,NaN
36,1524,NaN,NaN,NaN
37,1381,NaN,NaN,NaN
38,1350,NaN,NaN,NaN
39,1449,NaN,NaN,NaN
40,1501,NaN,NaN,NaN
41,1536,NaN,NaN,NaN
42,1532,NaN,NaN,NaN
43,2009,NaN,NaN,NaN
44,1423,NaN,NaN,NaN
45,1384,NaN,NaN,NaN
46,1281,NaN,NaN,NaN
47,1581,NaN,NaN,NaN
48,1660,NaN,NaN,NaN
49,1430,NaN,NaN,NaN
50,1205,NaN,NaN,NaN
51,1408,NaN,NaN,NaN
52,1227,NaN,NaN,NaN
53,1305,NaN,NaN,NaN
54,1327,NaN,NaN,NaN
55,1645,NaN,NaN,NaN
56,1235,NaN,NaN,NaN
57,1568,NaN,NaN,NaN
58,1313,NaN,NaN,NaN
59,1691,NaN,NaN,NaN
60,1481,NaN,NaN,NaN
61,1605,NaN,NaN,NaN
62,1285,NaN,NaN,NaN
63,1635,NaN,NaN,NaN
64,1907,NaN,NaN,NaN
65,1420,NaN,NaN,NaN
66,1438,NaN,NaN,NaN
67,1719,NaN,NaN,NaN
68,1820,NaN,NaN,NaN
69,1649,NaN,NaN,NaN
70,1319,NaN,NaN,NaN
71,1721,NaN,NaN,NaN
72,1578,NaN,NaN,NaN
73,1629,NaN,NaN,NaN
74,1370,NaN,NaN,NaN
75,1467,NaN,NaN,NaN
76,1412,NaN,NaN,NaN
77,1466,NaN,NaN,NaN
78,1409,NaN,NaN,NaN
79,1840,NaN,NaN,NaN
80,2330,NaN,NaN,NaN
81,1450,NaN,NaN,NaN
82,1404,NaN,NaN,NaN
83,1428,NaN,NaN,NaN
84,1548,NaN,NaN,NaN
85,1380,NaN,NaN,NaN
86,1382,NaN,NaN,NaN
87,1581,NaN,NaN,NaN
88,1248,NaN,NaN,NaN
89,1378,NaN,NaN,NaN
90,1348,NaN,NaN,NaN
91,1498,NaN,NaN,NaN
92,1829,NaN,NaN,NaN
93,1900,NaN,NaN,NaN
94,1460,NaN,NaN,NaN
95,1737,NaN,NaN,NaN
96,2128,NaN,NaN,NaN
97,1673,NaN,NaN,NaN
98,1548,NaN,NaN,NaN
99,1585,NaN,NaN,NaN
100,1555,NaN,NaN,NaN
101,1438,NaN,NaN,NaN
102,1334,NaN,NaN,NaN
103,1843,NaN,NaN,NaN
104,1614,NaN,NaN,NaN
105,1742,NaN,NaN,NaN
106,1477,NaN,NaN,NaN
107,1369,NaN,NaN,NaN
108,1434,NaN,NaN,NaN
109,1348,NaN,NaN,NaN
110,1634,NaN,NaN,NaN
111,1916,NaN,NaN,NaN
112,2121,NaN,NaN,NaN
113,1686,NaN,NaN,NaN
114,1586,NaN,NaN,NaN
115,1322,NaN,NaN,NaN
116,1476,NaN,NaN,NaN
117,1708,NaN,NaN,NaN
118,1815,NaN,NaN,NaN
119,1695,NaN,NaN,NaN
120,1556,NaN,NaN,NaN
121,1870,NaN,NaN,NaN
122,1511,NaN,NaN,NaN
123,1495,NaN,NaN,NaN
124,1498,NaN,NaN,NaN
125,1239,NaN,NaN,NaN
126,1453,NaN,NaN,NaN
127,2521,NaN,NaN,NaN
