,Q2,Q3,Q4,rawData
0,2094,NaN,NaN,NaN
1,1166,NaN,NaN,NaN
2,672,NaN,NaN,NaN
3,891,NaN,NaN,NaN
4,634,NaN,NaN,NaN
5,940,NaN,NaN,NaN
6,752,NaN,NaN,NaN
7,781,NaN,NaN,NaN
8,602,NaN,NaN,NaN
9,690,NaN,NaN,NaN
10,833,NaN,NaN,NaN
11,723,NaN,NaN,NaN
12,1028,NaN,NaN,NaN
13,694,NaN,NaN,NaN
14,791,NaN,NaN,NaN
15,858,NaN,NaN,NaN
16,962,NaN,NaN,NaN
17,646,NaN,NaN,NaN
18,1087,NaN,NaN,NaN
19,684,NaN,NaN,NaN
20,715,NaN,NaN,NaN
21,666,NaN,NaN,NaN
22,797,NaN,NaN,NaN
23,700,NaN,NaN,NaN
24,730,NaN,NaN,NaN
25,860,NaN,NaN,NaN
26,817,NaN,NaN,NaN
27,869,NaN,NaN,NaN
28,676,NaN,NaN,NaN
29,1095,NaN,NaN,NaN
30,798,NaN,NaN,NaN
31,1276,NaN,NaN,NaN
32,1121,NaN,NaN,NaN
33,854,NaN,NaN,NaN
34,876,NaN,NaN,NaN
35,989,NaN,NaN,NaN
36,779,NaN,NaN,NaN
37,721,NaN,NaN,NaN
38,669,NaN,NaN,NaN
39,717,NaN,NaN,NaN
40,775,NaN,NaN,NaN
41,778,NaN,NaN,NaN
42,809,NaN,NaN,NaN
43,1291,NaN,NaN,NaN
44,785,NaN,NaN,NaN
45,787,NaN,NaN,NaN
46,703,NaN,NaN,NaN
47,876,NaN,NaN,NaN
48,945,NaN,NaN,NaN
49,797,NaN,NaN,NaN
50,621,NaN,NaN,NaN
51,798,NaN,NaN,NaN
52,616,NaN,NaN,NaN
53,624,NaN,NaN,NaN
54,735,NaN,NaN,NaN
55,1021,NaN,NaN,NaN
56,624,NaN,NaN,NaN
57,955,NaN,NaN,NaN
58,707,NaN,NaN,NaN
59,975,NaN,NaN,NaN
60,843,NaN,NaN,NaN
61,964,NaN,NaN,NaN
62,666,NaN,NaN,NaN
63,956,NaN,NaN,NaN
64,1076,NaN,NaN,NaN
65,754,NaN,NaN,NaN
66,800,NaN,NaN,NaN
67,1011,NaN,NaN,NaN
68,1152,NaN,NaN,NaN
69,975,NaN,NaN,NaN
70,659,NaN,NaN,NaN
71,918,NaN,NaN,NaN
72,862,NaN,NaN,NaN
73,911,NaN,NaN,NaN
74,682,NaN,NaN,NaN
75,786,NaN,NaN,NaN
76,747,NaN,NaN,NaN
77,715,NaN,NaN,NaN
78,745,NaN,NaN,NaN
79,907,NaN,NaN,NaN
80,1373,NaN,NaN,NaN
81,710,NaN,NaN,NaN
82,699,NaN,NaN,NaN
83,677,NaN,NaN,NaN
84,889,NaN,NaN,NaN
85,762,NaN,NaN,NaN
86,764,NaN,NaN,NaN
87,959,NaN,NaN,NaN
88,620,NaN,NaN,NaN
89,708,NaN,NaN,NaN
90,617,NaN,NaN,NaN
91,859,NaN,NaN,NaN
92,1166,NaN,NaN,NaN
93,1252,NaN,NaN,NaN
94,803,NaN,NaN,NaN
95,951,NaN,NaN,NaN
96,1253,NaN,NaN,NaN
97,1028,NaN,NaN,NaN
98,800,NaN,NaN,NaN
99,927,NaN,NaN,NaN
100,921,NaN,NaN,NaN
101,774,NaN,NaN,NaN
102,668,NaN,NaN,NaN
103,1180,NaN,NaN,NaN
104,945,NaN,NaN,NaN
105,991,NaN,NaN,NaN
106,813,NaN,NaN,NaN
107,727,NaN,NaN,NaN
108,763,NaN,NaN,NaN
109,661,NaN,NaN,NaN
110,966,NaN,NaN,NaN
111,976,NaN,NaN,NaN
112,1260,NaN,NaN,NaN
113,975,NaN,NaN,NaN
114,876,NaN,NaN,NaN
115,627,NaN,NaN,NaN
116,749,NaN,NaN,NaN
117,656,NaN,NaN,NaN
118,943,NaN,NaN,NaN
119,941,NaN,NaN,NaN
120,837,NaN,NaN,NaN
121,1156,NaN,NaN,NaN
122,842,NaN,NaN,NaN
123,877,NaN,NaN,NaN
124,787,NaN,NaN,NaN
125,630,NaN,NaN,NaN
126,829,NaN,NaN,NaN
127,1673,NaN,NaN,NaN
128,1307,NaN,NaN,NaN
129,933,NaN,NaN,NaN
130,863,NaN,NaN,NaN
131,787,NaN,NaN,NaN
132,658,NaN,NaN,NaN
133,638,NaN,NaN,NaN
134,820,NaN,NaN,NaN
135,693,NaN,NaN,NaN
136,644,NaN,NaN,NaN
137,892,NaN,NaN,NaN
138,807,NaN,NaN,NaN
139,1125,NaN,NaN,NaN
140,695,NaN,NaN,NaN
141,788,NaN,NaN,NaN
142,609,NaN,NaN,NaN
143,773,NaN,NaN,NaN
144,1430,NaN,NaN,NaN
145,1059,NaN,NaN,NaN
146,739,NaN,NaN,NaN
147,956,NaN,NaN,NaN
148,683,NaN,NaN,NaN
149,889,NaN,NaN,NaN
150,758,NaN,NaN,NaN
151,702,NaN,NaN,NaN
152,725,NaN,NaN,NaN
153,954,NaN,NaN,NaN
154,908,NaN,NaN,NaN
155,915,NaN,NaN,NaN
156,862,NaN,NaN,NaN
157,1205,NaN,NaN,NaN
158,1413,NaN,NaN,NaN
159,953,NaN,NaN,NaN
160,1390,NaN,NaN,NaN
161,942,NaN,NaN,NaN
162,1075,NaN,NaN,NaN
163,692,NaN,NaN,NaN
164,1125,NaN,NaN,NaN
165,662,NaN,NaN,NaN
166,773,NaN,NaN,NaN
167,866,NaN,NaN,NaN
168,988,NaN,NaN,NaN
169,786,NaN,NaN,NaN
170,1311,NaN,NaN,NaN
171,886,NaN,NaN,NaN
172,821,NaN,NaN,NaN
173,705,NaN,NaN,NaN
174,944,NaN,NaN,NaN
175,914,NaN,NaN,NaN
176,1789,NaN,NaN,NaN
177,1226,NaN,NaN,NaN
178,936,NaN,NaN,NaN
179,1129,NaN,NaN,NaN
180,1116,NaN,NaN,NaN
181,809,NaN,NaN,NaN
182,935,NaN,NaN,NaN
183,854,NaN,NaN,NaN
184,813,NaN,NaN,NaN
185,828,NaN,NaN,NaN
186,651,NaN,NaN,NaN
187,921,NaN,NaN,NaN
188,1283,NaN,NaN,NaN
189,915,NaN,NaN,NaN
190,737,NaN,NaN,NaN
191,882,NaN,NaN,NaN
192,2158,NaN,NaN,NaN
193,1105,NaN,NaN,NaN
194,739,NaN,NaN,NaN
195,667,NaN,NaN,NaN
196,811,NaN,NaN,NaN
197,697,NaN,NaN,NaN
198,805,NaN,NaN,NaN
199,920,NaN,NaN,NaN
200,617,NaN,NaN,NaN
201,779,NaN,NaN,NaN
202,673,NaN,NaN,NaN
203,770,NaN,NaN,NaN
204,1019,NaN,NaN,NaN
205,882,NaN,NaN,NaN
206,983,NaN,NaN,NaN
207,1022,NaN,NaN,NaN
208,2049,NaN,NaN,NaN
209,1113,NaN,NaN,NaN
210,627,NaN,NaN,NaN
211,705,NaN,NaN,NaN
212,617,NaN,NaN,NaN
213,665,NaN,NaN,NaN
214,1101,NaN,NaN,NaN
215,688,NaN,NaN,NaN
216,793,NaN,NaN,NaN
217,721,NaN,NaN,NaN
218,1054,NaN,NaN,NaN
219,883,NaN,NaN,NaN
220,734,NaN,NaN,NaN
221,627,NaN,NaN,NaN
222,718,NaN,NaN,NaN
223,950,NaN,NaN,NaN
224,1979,NaN,NaN,NaN
225,1159,NaN,NaN,NaN
226,1149,NaN,NaN,NaN
227,966,NaN,NaN,NaN
228,1352,NaN,NaN,NaN
229,918,NaN,NaN,NaN
230,759,NaN,NaN,NaN
231,644,NaN,NaN,NaN
232,659,NaN,NaN,NaN
233,758,NaN,NaN,NaN
234,638,NaN,NaN,NaN
235,617,NaN,NaN,NaN
236,783,NaN,NaN,NaN
237,942,NaN,NaN,NaN
238,665,NaN,NaN,NaN
239,919,NaN,NaN,NaN
240,2294,NaN,NaN,NaN
241,955,NaN,NaN,NaN
242,986,NaN,NaN,NaN
243,917,NaN,NaN,NaN
244,699,NaN,NaN,NaN
245,712,NaN,NaN,NaN
