,Q2,Q3,Q4,rawData
188,12297,NaN,NaN,NaN
189,12611,NaN,NaN,NaN
190,14282,NaN,NaN,NaN
191,19532,NaN,NaN,NaN
192,4962,NaN,NaN,NaN
193,1668,NaN,NaN,NaN
194,1390,NaN,NaN,NaN
195,1058,NaN,NaN,NaN
196,1327,NaN,NaN,NaN
197,1300,NaN,NaN,NaN
198,1093,NaN,NaN,NaN
199,1281,NaN,NaN,NaN
200,1621,NaN,NaN,NaN
201,1105,NaN,NaN,NaN
202,1483,NaN,NaN,NaN
203,1605,NaN,NaN,NaN
204,1708,NaN,NaN,NaN
205,1934,NaN,NaN,NaN
206,1872,NaN,NaN,NaN
207,1636,NaN,NaN,NaN
208,1653,NaN,NaN,NaN
209,2110,NaN,NaN,NaN
210,2052,NaN,NaN,NaN
211,2287,NaN,NaN,NaN
212,2039,NaN,NaN,NaN
213,2427,NaN,NaN,NaN
214,2785,NaN,NaN,NaN
215,2370,NaN,NaN,NaN
216,3103,NaN,NaN,NaN
217,3045,NaN,NaN,NaN
218,3662,NaN,NaN,NaN
219,3455,NaN,NaN,NaN
220,4352,NaN,NaN,NaN
221,4313,NaN,NaN,NaN
222,4368,NaN,NaN,NaN
223,4851,NaN,NaN,NaN
224,4479,NaN,NaN,NaN
225,4716,NaN,NaN,NaN
226,5306,NaN,NaN,NaN
227,5519,NaN,NaN,NaN
228,6932,NaN,NaN,NaN
229,6970,NaN,NaN,NaN
230,7128,NaN,NaN,NaN
231,8830,NaN,NaN,NaN
232,9472,NaN,NaN,NaN
233,7854,NaN,NaN,NaN
234,8935,NaN,NaN,NaN
235,9471,NaN,NaN,NaN
236,9465,NaN,NaN,NaN
237,11136,NaN,NaN,NaN
238,13188,NaN,NaN,NaN
239,13253,NaN,NaN,NaN
240,15197,NaN,NaN,NaN
241,17757,NaN,NaN,NaN
242,19524,NaN,NaN,NaN
243,22452,NaN,NaN,NaN
244,25499,NaN,NaN,NaN
245,28951,NaN,NaN,NaN
246,34655,NaN,NaN,NaN
247,40640,NaN,NaN,NaN
248,45455,NaN,NaN,NaN
249,61219,NaN,NaN,NaN
250,73983,NaN,NaN,NaN
251,84371,NaN,NaN,NaN
252,96513,NaN,NaN,NaN
253,110622,NaN,NaN,NaN
254,125946,NaN,NaN,NaN
255,152896,NaN,NaN,NaN
256,47086,NaN,NaN,NaN
257,15443,NaN,NaN,NaN
258,6339,NaN,NaN,NaN
259,3592,NaN,NaN,NaN
260,2633,NaN,NaN,NaN
261,1605,NaN,NaN,NaN
262,2208,NaN,NaN,NaN
263,2214,NaN,NaN,NaN
264,2384,NaN,NaN,NaN
265,1707,NaN,NaN,NaN
