,Q2,Q3,Q4,rawData
195,831,NaN,NaN,NaN
196,766,NaN,NaN,NaN
197,952,NaN,NaN,NaN
198,634,NaN,NaN,NaN
199,941,NaN,NaN,NaN
200,677,NaN,NaN,NaN
201,708,NaN,NaN,NaN
202,654,NaN,NaN,NaN
203,866,NaN,NaN,NaN
204,763,NaN,NaN,NaN
205,717,NaN,NaN,NaN
206,770,NaN,NaN,NaN
207,656,NaN,NaN,NaN
208,661,NaN,NaN,NaN
209,829,NaN,NaN,NaN
210,763,NaN,NaN,NaN
211,1082,NaN,NaN,NaN
212,645,NaN,NaN,NaN
213,904,NaN,NaN,NaN
214,698,NaN,NaN,NaN
215,1057,NaN,NaN,NaN
216,1078,NaN,NaN,NaN
217,1090,NaN,NaN,NaN
218,1155,NaN,NaN,NaN
219,755,NaN,NaN,NaN
220,751,NaN,NaN,NaN
221,843,NaN,NaN,NaN
222,1589,NaN,NaN,NaN
223,1728,NaN,NaN,NaN
224,1966,NaN,NaN,NaN
225,1294,NaN,NaN,NaN
226,821,NaN,NaN,NaN
227,1098,NaN,NaN,NaN
228,597,NaN,NaN,NaN
229,750,NaN,NaN,NaN
230,698,NaN,NaN,NaN
231,1119,NaN,NaN,NaN
232,776,NaN,NaN,NaN
233,743,NaN,NaN,NaN
234,685,NaN,NaN,NaN
235,898,NaN,NaN,NaN
236,680,NaN,NaN,NaN
237,969,NaN,NaN,NaN
238,1299,NaN,NaN,NaN
239,1239,NaN,NaN,NaN
240,1266,NaN,NaN,NaN
241,1201,NaN,NaN,NaN
242,875,NaN,NaN,NaN
243,990,NaN,NaN,NaN
244,678,NaN,NaN,NaN
245,662,NaN,NaN,NaN
246,847,NaN,NaN,NaN
247,1420,NaN,NaN,NaN
248,1423,NaN,NaN,NaN
249,1574,NaN,NaN,NaN
250,827,NaN,NaN,NaN
251,1094,NaN,NaN,NaN
252,1137,NaN,NaN,NaN
253,1636,NaN,NaN,NaN
254,1761,NaN,NaN,NaN
255,2301,NaN,NaN,NaN
256,2232,NaN,NaN,NaN
257,1326,NaN,NaN,NaN
258,678,NaN,NaN,NaN
259,847,NaN,NaN,NaN
260,627,NaN,NaN,NaN
261,1348,NaN,NaN,NaN
262,1283,NaN,NaN,NaN
263,842,NaN,NaN,NaN
264,621,NaN,NaN,NaN
265,655,NaN,NaN,NaN
266,1005,NaN,NaN,NaN
267,819,NaN,NaN,NaN
268,1059,NaN,NaN,NaN
269,1107,NaN,NaN,NaN
270,806,NaN,NaN,NaN
271,736,NaN,NaN,NaN
272,817,NaN,NaN,NaN
273,972,NaN,NaN,NaN
274,1237,NaN,NaN,NaN
275,837,NaN,NaN,NaN
276,659,NaN,NaN,NaN
277,710,NaN,NaN,NaN
278,948,NaN,NaN,NaN
279,933,NaN,NaN,NaN
280,1971,NaN,NaN,NaN
281,1466,NaN,NaN,NaN
282,1308,NaN,NaN,NaN
283,947,NaN,NaN,NaN
284,1800,NaN,NaN,NaN
285,1682,NaN,NaN,NaN
286,1590,NaN,NaN,NaN
287,1394,NaN,NaN,NaN
288,3394,NaN,NaN,NaN
289,1430,NaN,NaN,NaN
