,Q2,Q3,Q4,rawData
0,2125,NaN,NaN,NaN
1,1140,NaN,NaN,NaN
2,731,NaN,NaN,NaN
3,767,NaN,NaN,NaN
4,734,NaN,NaN,NaN
5,737,NaN,NaN,NaN
6,677,NaN,NaN,NaN
7,753,NaN,NaN,NaN
8,759,NaN,NaN,NaN
9,657,NaN,NaN,NaN
10,693,NaN,NaN,NaN
11,693,NaN,NaN,NaN
12,751,NaN,NaN,NaN
13,696,NaN,NaN,NaN
14,669,NaN,NaN,NaN
15,765,NaN,NaN,NaN
16,770,NaN,NaN,NaN
17,682,NaN,NaN,NaN
18,758,NaN,NaN,NaN
19,682,NaN,NaN,NaN
20,866,NaN,NaN,NaN
21,675,NaN,NaN,NaN
22,662,NaN,NaN,NaN
23,799,NaN,NaN,NaN
24,804,NaN,NaN,NaN
25,722,NaN,NaN,NaN
26,666,NaN,NaN,NaN
27,725,NaN,NaN,NaN
28,866,NaN,NaN,NaN
29,642,NaN,NaN,NaN
30,738,NaN,NaN,NaN
31,715,NaN,NaN,NaN
32,898,NaN,NaN,NaN
33,667,NaN,NaN,NaN
34,678,NaN,NaN,NaN
35,760,NaN,NaN,NaN
36,836,NaN,NaN,NaN
37,749,NaN,NaN,NaN
38,662,NaN,NaN,NaN
39,783,NaN,NaN,NaN
40,886,NaN,NaN,NaN
41,766,NaN,NaN,NaN
42,679,NaN,NaN,NaN
43,843,NaN,NaN,NaN
44,892,NaN,NaN,NaN
45,782,NaN,NaN,NaN
46,715,NaN,NaN,NaN
47,737,NaN,NaN,NaN
48,896,NaN,NaN,NaN
49,738,NaN,NaN,NaN
50,678,NaN,NaN,NaN
51,827,NaN,NaN,NaN
52,906,NaN,NaN,NaN
53,734,NaN,NaN,NaN
54,679,NaN,NaN,NaN
55,657,NaN,NaN,NaN
56,926,NaN,NaN,NaN
57,675,NaN,NaN,NaN
58,682,NaN,NaN,NaN
59,763,NaN,NaN,NaN
60,895,NaN,NaN,NaN
61,694,NaN,NaN,NaN
62,649,NaN,NaN,NaN
63,849,NaN,NaN,NaN
64,936,NaN,NaN,NaN
65,700,NaN,NaN,NaN
66,682,NaN,NaN,NaN
67,851,NaN,NaN,NaN
68,970,NaN,NaN,NaN
69,667,NaN,NaN,NaN
70,671,NaN,NaN,NaN
71,733,NaN,NaN,NaN
72,1005,NaN,NaN,NaN
73,732,NaN,NaN,NaN
74,658,NaN,NaN,NaN
75,737,NaN,NaN,NaN
76,1011,NaN,NaN,NaN
77,690,NaN,NaN,NaN
78,682,NaN,NaN,NaN
79,769,NaN,NaN,NaN
80,1068,NaN,NaN,NaN
81,749,NaN,NaN,NaN
82,732,NaN,NaN,NaN
83,874,NaN,NaN,NaN
84,1108,NaN,NaN,NaN
85,698,NaN,NaN,NaN
86,740,NaN,NaN,NaN
87,810,NaN,NaN,NaN
88,1097,NaN,NaN,NaN
89,752,NaN,NaN,NaN
90,665,NaN,NaN,NaN
91,749,NaN,NaN,NaN
92,1129,NaN,NaN,NaN
93,735,NaN,NaN,NaN
94,687,NaN,NaN,NaN
95,732,NaN,NaN,NaN
96,1084,NaN,NaN,NaN
97,732,NaN,NaN,NaN
98,676,NaN,NaN,NaN
99,740,NaN,NaN,NaN
100,1138,NaN,NaN,NaN
101,710,NaN,NaN,NaN
102,656,NaN,NaN,NaN
103,753,NaN,NaN,NaN
104,1139,NaN,NaN,NaN
105,738,NaN,NaN,NaN
106,688,NaN,NaN,NaN
107,784,NaN,NaN,NaN
108,1098,NaN,NaN,NaN
109,747,NaN,NaN,NaN
110,677,NaN,NaN,NaN
111,865,NaN,NaN,NaN
112,1101,NaN,NaN,NaN
113,725,NaN,NaN,NaN
114,732,NaN,NaN,NaN
115,801,NaN,NaN,NaN
116,1137,NaN,NaN,NaN
117,769,NaN,NaN,NaN
118,808,NaN,NaN,NaN
119,799,NaN,NaN,NaN
120,1268,NaN,NaN,NaN
121,757,NaN,NaN,NaN
122,812,NaN,NaN,NaN
123,804,NaN,NaN,NaN
124,1311,NaN,NaN,NaN
125,752,NaN,NaN,NaN
126,661,NaN,NaN,NaN
127,849,NaN,NaN,NaN
128,1159,NaN,NaN,NaN
129,738,NaN,NaN,NaN
130,757,NaN,NaN,NaN
131,832,NaN,NaN,NaN
132,1200,NaN,NaN,NaN
133,810,NaN,NaN,NaN
134,678,NaN,NaN,NaN
135,779,NaN,NaN,NaN
136,1311,NaN,NaN,NaN
137,768,NaN,NaN,NaN
138,661,NaN,NaN,NaN
139,845,NaN,NaN,NaN
140,1272,NaN,NaN,NaN
