,Q2,Q3,Q4,rawData
191,4908,NaN,NaN,NaN
192,5537,NaN,NaN,NaN
193,5057,NaN,NaN,NaN
194,7196,NaN,NaN,NaN
195,9160,NaN,NaN,NaN
196,7193,NaN,NaN,NaN
197,6252,NaN,NaN,NaN
198,6158,NaN,NaN,NaN
199,9415,NaN,NaN,NaN
200,1937,NaN,NaN,NaN
201,1093,NaN,NaN,NaN
202,970,NaN,NaN,NaN
203,951,NaN,NaN,NaN
204,951,NaN,NaN,NaN
205,948,NaN,NaN,NaN
206,938,NaN,NaN,NaN
207,795,NaN,NaN,NaN
208,1024,NaN,NaN,NaN
209,930,NaN,NaN,NaN
210,906,NaN,NaN,NaN
211,962,NaN,NaN,NaN
212,1131,NaN,NaN,NaN
213,1221,NaN,NaN,NaN
214,716,NaN,NaN,NaN
215,1294,NaN,NaN,NaN
216,1194,NaN,NaN,NaN
217,1354,NaN,NaN,NaN
218,1066,NaN,NaN,NaN
219,891,NaN,NaN,NaN
220,1327,NaN,NaN,NaN
221,1204,NaN,NaN,NaN
222,1159,NaN,NaN,NaN
223,1030,NaN,NaN,NaN
224,1897,NaN,NaN,NaN
225,1425,NaN,NaN,NaN
226,1500,NaN,NaN,NaN
227,1332,NaN,NaN,NaN
228,985,NaN,NaN,NaN
229,1114,NaN,NaN,NaN
230,1159,NaN,NaN,NaN
231,1231,NaN,NaN,NaN
232,1669,NaN,NaN,NaN
233,1832,NaN,NaN,NaN
234,1579,NaN,NaN,NaN
235,942,NaN,NaN,NaN
236,1512,NaN,NaN,NaN
237,1491,NaN,NaN,NaN
238,921,NaN,NaN,NaN
239,981,NaN,NaN,NaN
240,856,NaN,NaN,NaN
241,1017,NaN,NaN,NaN
242,2296,NaN,NaN,NaN
243,1891,NaN,NaN,NaN
244,2922,NaN,NaN,NaN
245,1920,NaN,NaN,NaN
246,2205,NaN,NaN,NaN
247,1612,NaN,NaN,NaN
248,3024,NaN,NaN,NaN
249,2494,NaN,NaN,NaN
250,2908,NaN,NaN,NaN
251,3383,NaN,NaN,NaN
252,2732,NaN,NaN,NaN
253,4817,NaN,NaN,NaN
254,5964,NaN,NaN,NaN
255,4113,NaN,NaN,NaN
256,4324,NaN,NaN,NaN
257,5612,NaN,NaN,NaN
258,3974,NaN,NaN,NaN
259,5718,NaN,NaN,NaN
260,5647,NaN,NaN,NaN
261,4651,NaN,NaN,NaN
262,3877,NaN,NaN,NaN
263,4262,NaN,NaN,NaN
264,5155,NaN,NaN,NaN
265,6526,NaN,NaN,NaN
266,11147,NaN,NaN,NaN
267,12306,NaN,NaN,NaN
268,13749,NaN,NaN,NaN
269,14481,NaN,NaN,NaN
