,Q2,Q3,Q4,rawData
0,2114,NaN,NaN,NaN
1,1158,NaN,NaN,NaN
2,793,NaN,NaN,NaN
3,731,NaN,NaN,NaN
4,657,NaN,NaN,NaN
5,753,NaN,NaN,NaN
6,674,NaN,NaN,NaN
7,669,NaN,NaN,NaN
8,763,NaN,NaN,NaN
9,733,NaN,NaN,NaN
10,658,NaN,NaN,NaN
11,777,NaN,NaN,NaN
12,695,NaN,NaN,NaN
13,725,NaN,NaN,NaN
14,807,NaN,NaN,NaN
15,705,NaN,NaN,NaN
16,842,NaN,NaN,NaN
17,753,NaN,NaN,NaN
18,763,NaN,NaN,NaN
19,855,NaN,NaN,NaN
20,764,NaN,NaN,NaN
21,850,NaN,NaN,NaN
22,781,NaN,NaN,NaN
23,924,NaN,NaN,NaN
24,767,NaN,NaN,NaN
25,921,NaN,NaN,NaN
26,763,NaN,NaN,NaN
27,925,NaN,NaN,NaN
28,826,NaN,NaN,NaN
29,898,NaN,NaN,NaN
30,813,NaN,NaN,NaN
31,987,NaN,NaN,NaN
32,836,NaN,NaN,NaN
33,735,NaN,NaN,NaN
34,697,NaN,NaN,NaN
35,751,NaN,NaN,NaN
36,673,NaN,NaN,NaN
37,672,NaN,NaN,NaN
38,771,NaN,NaN,NaN
39,700,NaN,NaN,NaN
40,805,NaN,NaN,NaN
41,754,NaN,NaN,NaN
42,793,NaN,NaN,NaN
43,750,NaN,NaN,NaN
44,851,NaN,NaN,NaN
45,731,NaN,NaN,NaN
46,837,NaN,NaN,NaN
47,709,NaN,NaN,NaN
48,738,NaN,NaN,NaN
49,883,NaN,NaN,NaN
50,756,NaN,NaN,NaN
51,837,NaN,NaN,NaN
52,759,NaN,NaN,NaN
53,806,NaN,NaN,NaN
54,976,NaN,NaN,NaN
55,813,NaN,NaN,NaN
56,857,NaN,NaN,NaN
57,664,NaN,NaN,NaN
58,968,NaN,NaN,NaN
59,658,NaN,NaN,NaN
60,1016,NaN,NaN,NaN
61,836,NaN,NaN,NaN
62,954,NaN,NaN,NaN
63,834,NaN,NaN,NaN
64,1190,NaN,NaN,NaN
65,691,NaN,NaN,NaN
66,683,NaN,NaN,NaN
67,730,NaN,NaN,NaN
68,687,NaN,NaN,NaN
69,665,NaN,NaN,NaN
70,803,NaN,NaN,NaN
71,690,NaN,NaN,NaN
72,797,NaN,NaN,NaN
73,741,NaN,NaN,NaN
74,711,NaN,NaN,NaN
75,871,NaN,NaN,NaN
76,724,NaN,NaN,NaN
77,916,NaN,NaN,NaN
78,764,NaN,NaN,NaN
79,908,NaN,NaN,NaN
80,919,NaN,NaN,NaN
81,785,NaN,NaN,NaN
82,974,NaN,NaN,NaN
83,799,NaN,NaN,NaN
84,959,NaN,NaN,NaN
85,984,NaN,NaN,NaN
86,790,NaN,NaN,NaN
87,935,NaN,NaN,NaN
88,972,NaN,NaN,NaN
89,831,NaN,NaN,NaN
90,1002,NaN,NaN,NaN
91,790,NaN,NaN,NaN
92,1022,NaN,NaN,NaN
93,835,NaN,NaN,NaN
94,1026,NaN,NaN,NaN
95,1110,NaN,NaN,NaN
96,1164,NaN,NaN,NaN
97,739,NaN,NaN,NaN
98,729,NaN,NaN,NaN
99,704,NaN,NaN,NaN
100,755,NaN,NaN,NaN
101,740,NaN,NaN,NaN
102,700,NaN,NaN,NaN
103,822,NaN,NaN,NaN
104,715,NaN,NaN,NaN
105,808,NaN,NaN,NaN
106,712,NaN,NaN,NaN
107,848,NaN,NaN,NaN
108,766,NaN,NaN,NaN
109,880,NaN,NaN,NaN
110,807,NaN,NaN,NaN
111,934,NaN,NaN,NaN
112,781,NaN,NaN,NaN
113,924,NaN,NaN,NaN
114,820,NaN,NaN,NaN
115,942,NaN,NaN,NaN
116,1022,NaN,NaN,NaN
117,784,NaN,NaN,NaN
118,1077,NaN,NaN,NaN
119,1064,NaN,NaN,NaN
120,908,NaN,NaN,NaN
121,977,NaN,NaN,NaN
122,1086,NaN,NaN,NaN
123,1084,NaN,NaN,NaN
124,868,NaN,NaN,NaN
125,1095,NaN,NaN,NaN
126,885,NaN,NaN,NaN
127,1199,NaN,NaN,NaN
128,1506,NaN,NaN,NaN
129,747,NaN,NaN,NaN
130,740,NaN,NaN,NaN
131,690,NaN,NaN,NaN
132,677,NaN,NaN,NaN
133,844,NaN,NaN,NaN
134,716,NaN,NaN,NaN
135,855,NaN,NaN,NaN
136,755,NaN,NaN,NaN
137,743,NaN,NaN,NaN
138,863,NaN,NaN,NaN
139,722,NaN,NaN,NaN
140,763,NaN,NaN,NaN
141,762,NaN,NaN,NaN
142,889,NaN,NaN,NaN
143,770,NaN,NaN,NaN
144,853,NaN,NaN,NaN
145,768,NaN,NaN,NaN
146,775,NaN,NaN,NaN
147,972,NaN,NaN,NaN
148,1013,NaN,NaN,NaN
149,729,NaN,NaN,NaN
150,987,NaN,NaN,NaN
151,824,NaN,NaN,NaN
152,1074,NaN,NaN,NaN
153,1039,NaN,NaN,NaN
154,839,NaN,NaN,NaN
155,1081,NaN,NaN,NaN
156,1141,NaN,NaN,NaN
157,1081,NaN,NaN,NaN
158,1095,NaN,NaN,NaN
159,1057,NaN,NaN,NaN
160,1659,NaN,NaN,NaN
161,802,NaN,NaN,NaN
162,755,NaN,NaN,NaN
163,712,NaN,NaN,NaN
164,697,NaN,NaN,NaN
165,801,NaN,NaN,NaN
166,721,NaN,NaN,NaN
167,740,NaN,NaN,NaN
168,828,NaN,NaN,NaN
169,726,NaN,NaN,NaN
170,844,NaN,NaN,NaN
171,726,NaN,NaN,NaN
172,879,NaN,NaN,NaN
173,725,NaN,NaN,NaN
174,954,NaN,NaN,NaN
175,782,NaN,NaN,NaN
176,895,NaN,NaN,NaN
177,812,NaN,NaN,NaN
178,947,NaN,NaN,NaN
179,817,NaN,NaN,NaN
180,1007,NaN,NaN,NaN
181,799,NaN,NaN,NaN
182,1042,NaN,NaN,NaN
183,1063,NaN,NaN,NaN
184,811,NaN,NaN,NaN
185,1069,NaN,NaN,NaN
186,1101,NaN,NaN,NaN
187,1093,NaN,NaN,NaN
188,839,NaN,NaN,NaN
189,1161,NaN,NaN,NaN
190,1109,NaN,NaN,NaN
191,1298,NaN,NaN,NaN
192,1873,NaN,NaN,NaN
193,877,NaN,NaN,NaN
194,746,NaN,NaN,NaN
195,806,NaN,NaN,NaN
196,885,NaN,NaN,NaN
197,749,NaN,NaN,NaN
198,864,NaN,NaN,NaN
199,708,NaN,NaN,NaN
200,862,NaN,NaN,NaN
201,736,NaN,NaN,NaN
202,760,NaN,NaN,NaN
203,859,NaN,NaN,NaN
204,775,NaN,NaN,NaN
205,939,NaN,NaN,NaN
206,750,NaN,NaN,NaN
207,980,NaN,NaN,NaN
208,784,NaN,NaN,NaN
209,986,NaN,NaN,NaN
210,1020,NaN,NaN,NaN
211,820,NaN,NaN,NaN
212,1006,NaN,NaN,NaN
213,785,NaN,NaN,NaN
214,1039,NaN,NaN,NaN
215,1086,NaN,NaN,NaN
216,857,NaN,NaN,NaN
217,1073,NaN,NaN,NaN
218,1078,NaN,NaN,NaN
219,1081,NaN,NaN,NaN
220,915,NaN,NaN,NaN
