,Q2,Q3,Q4,rawData
192,1105,NaN,NaN,NaN
193,821,NaN,NaN,NaN
194,850,NaN,NaN,NaN
195,737,NaN,NaN,NaN
196,893,NaN,NaN,NaN
197,744,NaN,NaN,NaN
198,787,NaN,NaN,NaN
199,753,NaN,NaN,NaN
200,871,NaN,NaN,NaN
201,787,NaN,NaN,NaN
202,929,NaN,NaN,NaN
203,964,NaN,NaN,NaN
204,796,NaN,NaN,NaN
205,977,NaN,NaN,NaN
206,963,NaN,NaN,NaN
207,867,NaN,NaN,NaN
